name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,Recipe
Lyangcha,"Flour, fried milk power, sugar syrup",vegetarian,20,30,sweet,dessert,Assam,North East,"Making of the Dough and Shaping Lyangcha:
Take Chana and grate it using a manual grater or just crumble it using your hand. I prefer to use my grater to grate Chana.
Similarly grate Khowa or Solidified Milk as well.
Now take grated Chana in a plate and start kneading using your hand until Chana smoothen completely as shown in in the picture.
Add crumbled Khowa to the kneaded Chana and after mixing it properly knead once again to smoothen the mixture.
At this point add a powder of Green Cardamom Seed, Semolina, All Purpose Flour and powdered Sugar to the mixture and knead for around 2-3 minutes to mix each and every ingredient properly.
Once you feel the mixture smooth enough divide it into 15-20 portion based on the preference of size. I prefer a medium sized Lyangcha and hence prepared 2” diameter portions.
Now take each portion and using your hands given that a shape of cylinder as shown.
Do start making the Sugar syrup just before shaping the Lyangcha.                  Take Sugar along with water in a deep vessel and start cooking in low flame until sugar dissolve completely and thickens to medium consistency syrup for around 10 minutes.
Don’t use a spatula or spoon to mix sugar as it may cause crystallization.
Add Powdered Green Cardamom Seed to the Syrup
Frying Lyangcha and deeping in Sugar Syrup:
Heal sufficient Refined Oil along with 1 Tsp. Ghee in a Pan and adjust the flame to medium after the oil heated properly.
Now deep fry all the Lyangchas in medium flame until those turn deep brown in colour and pour in hot Sugar Syrup immediately.
Let the Lyangcha soak in Sugar Syrup for around 2 hours.
Lyangcha can be served hot or refrigerated though I prefer to serve it hot."
Malapua,"Yoghurt, refined flour, ghee, fennel seeds",vegetarian,10,120,sweet,dessert,Bihar,North,"Making Malpua Batter
In a mixing bowl take the all-purpose flour, fennel seeds and cardamom powder. Mix the dry ingredients well.
Add the khoya and curd (yogurt). Please use fresh yogurt. Instead of khoya you can also use milk powder.
Add water and begin to stir to a thick or medium-thick flowing batter without lumps.
Cover the bowl and allow the batter to rest for 30 minutes.
Meanwhile when the batter is resting blanch the almonds and pistachios in hot water. Keep them soaked in hot water for 20 to 30 minutes. Then peel and slice them. Keep aside.
Making Sugar Syrup
In a pan take sugar and water. Stir so that the sugar dissolves. On a low heat simmer this mixture.
You need to have a ½ string or 1 string consistency in the sugar syrup. If you cannot achieve these string consistencies than just make a sticky syrup.
The sugar needs to be kept warm. For this keep the sugar syrup on a hot water bath so that it stays warm throughout and does not crystallize. Meaning you have to keep the sugar syrup pan on a bowl or another pan filled with hot water. The hot water should touch the base of the pan containing the sugar syrup.
Making Malpua
Heat ghee in a frying pan or skillet.
When the ghee is heating up add baking soda to the batter.
Stir to combine so that the baking soda is mixed evenly with the batter.
Lower the heat. Take 2 to 3 tablespoons or a ladle of the batter and gently pour it on the hot ghee. Spread the batter lightly with the back of the spoon. Make 2 to 4 malpua depending on the size of the frying pan.
Fry on a low to medium heat. When one side is light golden and crisp, gently turnover and fry the second side until crisp and light golden.
Fry until both sides are golden flipping the malpua as needed for a couple of times.
Drain them on paper towels to remove excess oil.
Coating Malpua With Sugar Syrup
Then immediately place them in the warm sugar syrup. Gently coat the malpua with the sugar syrup with a spoon or small tongs.
Immediately remove them and place them in a serving tray or plate. Prepare all malpua this way and coat them with the sugar syrup.
Pour some rabri on top. Garnish with the chopped almonds and pistachios. Serve the malpua with rabdi hot. You can also just serve them coated with the sugar syrup and garnished with the blanched nuts."
Mihidana,"Besan flour, sugar, ghee",vegetarian,15,30,sweet,dessert,West Bengal,East,"In a bowl mix besan or gram flour with enough water to form a thin liquid paste which is free flowing.
To make a sugar syrup add 1 cup water, sugar and allow it boil for about 5-6 minutes.
In a deep pan heat oil and pass the besan batter through a sieve so that it forms small round balls. Fry them on medium flame till it turn golden brown.
Now, transfer them to the sugar syrup. Allow it to soak for about 30 minutes and then drain the excess water and keep aside.
To this mix finely chopped dry fruits."
Misti doi,"Milk, jaggery",vegetarian,480,30,sweet,dessert,West Bengal,East,"Boiling Milk
Take 1 litre full fat milk in a heavy kadai or pan. Keep flame to low or medium-low and begin to heat milk.
Stir occasionally when the milk is getting heated. Let the milk come to a boil.
Then continue to simmer the milk on a low to medium-low flame stirring often.
Scrape the dried milk solids from the sides and add to the simmering milk.
Simmer milk till it reduces to ⅓ or ½ of its original volume.
Keep the kadai down and let the milk cool for about 8 to 9 minutes.
Making Mishti Doi
Meanwhile finely chop or grate 175 to 180 grams palm jaggery. You will need ¾ cup finely chopped palm jaggery.
After 8 or 9 minutes, add the chopped palm jaggery. When adding jaggery, the temperature of milk can be 60 to 65 degrees celsius.
Mix very well till all the jaggery is dissolved.
Add ½ teaspoon cardamom powder. Mix well and let the milk become warm.
Check the temperature of milk. It should be warm – meaning if you dip your finger in the milk, your finger should feel comfortably warm but not hot. If you have a cooking thermometer, you can check the temperature. It should be between 40 to 44 degrees celsius.
Now add 2 tablespoons curd.
With a whisk mix very well. The curd should dissolve in the milk. If you want you can even beat the curd before you add.
Setting Mishti Doi
Now pour the doi mixture in earthen or terracotta bowls or earthen handi.
Cover with a lid or seal with aluminium foil.
Keep in a warm place for the mishti doi to set. Mishti doi takes longer to set than curd. the timing will also vary with the temperature in your city. So you can keep for 9 to 24 hours. 
When it is set, then refrigerate. Serve mishti doi with your meals or as a dessert."
Pantua,"Chhena, sugar, ghee, flour",vegetarian,45,45,sweet,dessert,West Bengal,East,"To make Sugar Syrup or Chashni for soaking the Pantua

Take sugar and water in a sauce pan and gently bring it to a boil. Keep stirring so that the sugar is dissolved completely. Once you see that there are no more sugar crystals left, switch off the heat. Drop in the green cardamom pod and stir
The sugar syrup for Pantua is left runny, of one-string consistency. This way it would soak inside the Pantuas properly
To make the Pantua

Take the chena or cottage cheese in a mixing bowl and knead it for 8-10 minutes to make it smooth and supple
Add the rest of the ingredients in it like All-Purpose Flour, Semolina and Baking Soda and knead it again
Add Milk to make the dough moist and pliable to form the shape of Chanar Jilipi. it should be kind of a sticky dough. It took somewhere around 4 tablespoons of milk to get the perfect dough. You can add more if needed.
Add a teaspoon of Ghee to help you work with the dough
Divide the dough into 12 equal portions. Take each portion and roll it between your palms to make them smooth. Keep them covered with a damp cloth to avoid forming crust. If they fry out, they often lead to cracks while frying.
Now, fry them in oil/ghee on very low heat. Once they turn brown, take them out and dunk them in Sugar Syrup. Let them soak for an hour or so before serving."
Pithe,"Rice flour, wheat flour",vegetarian,15,35,sweet,dessert,Assam,North East,"Green Pea Mixture
Rinse the fresh green peas in cold water and grind them in a mixer with chopped ginger and green chillies.
Heat 1 tablespoon oil in a pan, add coarsely ground cumin seeds, freshly ground pepper corns, add the green pea mash and saute it .
Add salt and pinch of sugar (optional), and let it fry on low heat till the rawness of the green peas disappear.
Stir in the chopped cilantro, mix it well. Take it off the heat. Keep aside.
Prepare the rice flour dough
Take 1 cup rice flour in a bowl. Stir in the salt and mix it well.
Add slowly hot boiling water (around 1 cup) to the rice flour and with other hand keep stirring it with a spoon.
Do not add all the water at once, you may not need that much water also. it depends upon the type of rice flour you are using. Some rice flour absorb less water, some absorb more water. Wait for a minute.
Try to knead the dough and idea is to make a smooth and slightly stiff dough. If the dough is too soft, it wont hold the shapes.
Drizzle warm ghee over the dough, lightly knead it and cover it with a damp cloth untill needed.
Making the nonta puli
Make small balls of the green pea mixture. Keep aside.
Take a small walnut size ball of the dough, flatten it on your palm. Place the green pea mixture ball in the centre, cover it from all sides and give it a small torpedo or puli shape. My shapes are not perfect but with practice you can get it right.
Make Puli like this from the dough . Around 8-10 puli you should get from one cup of flour.
Once done, cover the filled puli with a damp cloth. Inspect closely for any gaps. Filling should be well sealed from all sides.
Now heat enough water in a steamer. Once the water is on rolling boil, grease the steamer plate with little oil. Place the rice dumplings or puli on it. Do not over crowd it. Depending upon the size of steamer, you can steam minimum 4-5 puli in one go.
Steam the rice dumplings or puli for 8-10 minutes. The puli will slightly change the color once it get evenly steamed.
Serve warm immediately. Leftovers can be refrigerated. Before serving, steam it again ."
Rasabali,"Chenna, sweetened milk",vegetarian,15,30,sweet,dessert,Odisha,East,"For making chenna dumplings
For making 250gm chenna - boil around 1/1 2 l milk and add vinegar. Once the milk is curdled, strain the whey, collect the chenna or cheese in a cheese cloth, wash it under running water. Tied the cloth tightly and let the chenna hung for one hour.
To the freshly made chenna, add all the ingredients listed under For chenna dumplings, except ghee / oil.
Knead the chenna with the heel of your palm and mash it with your knuckles. This step is very well explained in my Mango sandesh recipe post. Link is given in the post. Please refer it.
Once it is done, you will notice that your palm is greasy. Do not knead further. Chenna is ready.
Divide the chenna into equal portions, make small balls out of it. Flatten it into round disc shape. If possible, make a small hole at the center with your index finger.
Keep aside.
Heat a kadhai or deep fry pan. Add enough oil / ghee into it and heat it. I always use ghee and refined oil mix. Also I do not add all the oil or ghee at once. I keep on adding it as requires. This way, you wont be left with too much fried oil / ghee.
Fry the chenna dumplings one by one (or max two, but do not crowded it) on low heat till reddish brown on all sides.
Take care not to over fry this. Else it will spoil the texture of rasabali and will become hard and chewy.
Drain the rasabali on kitchen towel.
Reduced milk
Boil the milk till it is reduced to half its original volume.
Reducing the milk takes long time around 30-40 min. So before making the chenna dumplings, start reducing the milk first. While this is going on, you can begin with chenna dumplings.
This will save time.
Add sugar, crushed cardamoms and saffron.
Once the milk is reduced sufficiently, check for the sweetness.
Now add the fried rasabali into the hot milk and simmered in the milk on low heat for 3-4 minutes.a
Once done, switch off the heat. Cover it and let it stand for 2 hours.
Serve Rasabali at room temperature."
Ras malai,"Chhena, reduced milk, pistachio",vegetarian,180,60,sweet,dessert,West Bengal,East,"how to boil rasmalai in sugar syrup:
firstly, in a large vessel, take 1½ cup sugar, 3 pods cardamom and 7 cup water.
stir and dissolve sugar.
now boil the water for 5 minutes or until the syrup turns slightly sticky.
drop in a prepared flattened paneer ball keeping the flame on high.
cover and boil for 7 minutes or until the size of the ball doubles.
chenna has been cooked well. keep aside.
how to make rabdi:
firstly, in a large kadai heat 1-litre milk, few saffron and pinch of saffron food colour.
stir and get the milk to a boil.
continue to cook until the milk thickens slightly.
now add ½ cup sugar and continue to boil.
do not make very thick milk as it will be difficult for chenna to absorb milk.
also, add ¼ tsp cardamom powder and 2 tbsp nuts. mix well.
how to soak rasmalai in rabdi:
squeeze off the sugar syrup from the cooked paneer balls.
place them in a tray and pour in prepared rabdi.
rest for at least 4 hours or until the rasmali is soaked well.
finally, enjoy rasmalai slightly warmed or chilled."
Rasgulla,"Chhena, sugar, cardamom",vegetarian,10,90,sweet,dessert,West Bengal,East,"firstly, in a large vessel get 2 litre milk of milk to a boil stirring occasionally.
once the milk comes to a boil, pour 2 tbsp lemon juice and stir well. you can alternatively use curd or vinegar.
stir until the milk curdles keeping the flame on low to medium.
do not boil further once water separates completely.
drain the curdled milk over a cloth-lined over a colander. you can use the leftover water to make soup or knead the dough as they are very nutritious.
squeeze off the water completely. be careful as the curdled milk will be very hot.
rinse off the curdled milk with fresh water to remove sourness from lemon juice.
squeeze off the water completely. do not over squeeze as the moisture in paneer will be lost.
hang for 1 hour making sure the water is drained completely, yet remain the moisture.
after 1 hour, start to mash the paneer for 5 minutes.
mash the paneer till it turns out smooth texture without any grains of paneer.
now prepare small ball sized paneer and keep aside. cover and keep to prevent from drying.
in a large vessel take 1 cup sugar, 5 cup water and 3 pod cardamom.
stir and dissolve the sugar completely.
now boil the water for 5 minutes.
drop in rolled paneer balls one by one into boiling sugar water.
cover and boil for 10 minutes or until rasgulla doubles in size.
now drop into ice-cold water immediately, to prevent from shrinking in size.
once cooled completely, take into a serving bowl and pour in leftover sugar water.
finally, enjoy rasgulla chilled or as it is."
Sandesh,"Milk, sugar, saffron, cardamom",vegetarian,30,20,sweet,dessert,West Bengal,East,"firstly, boil 2 litre full cream milk in a thick bottomed pan, stir occasionally.
turn off the stove add add 3 tbsp of lemon juice / vinegar / curd.
mix well till the milk curdles like while preparing paneer. add more lemon juice if required.
now drain off the curdled milk using cloth.
rinse with cold water, making sure the paneer remains soft and removes lemon flavour.
squeeze and drain off the water.
now hang the cloth along with curdled milk for 30 minutes. do not hang for more time, as they loose moisture completely.
after 30 minutes, mash well for 10 minutes.
mash till the curdled milk turns smooth and soft. else it will be difficult to prepare balls.
further add ½ cup powdered sugar and combine well.
transfer the prepared paneer dough onto the kadai.
cook on low flame by spreading and mashing well.
cook for 5 minutes or till the curdled milk is cooked well. over cooking, makes paneer crumbly loosing out all moisture.
now add in cardamom powder and mix well.
allow it to cool for 5 minutes.
further, prepare small balls once its lightly cooled and make a dent in center.
finally, garnish sandesh with tutti frutti, almonds or pistachios and serve."
Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",vegetarian,10,50,sweet,dessert,West Bengal,East,"grease the butter paper (or plastic sheet) with oil and pinch a small ball sized dough.
pat and flatten to form a slightly thick disk.
peel the athirasa gently, without breaking apart.
now deep fry in medium hot oil or ghee.
fry on medium flame until the bottom part is cooked well. keep splashing oil on top to cook evenly.
now gently, turn over the athirasa, and fry on both sides.
fry until both the sides turn golden and slightly crisp. do not fry too much, as the adhirasam will burn and turn black.
slightly press the athrasa to remove of excess oil.
finally, enjoy athirasa / adhirasam for 2 weeks by storing in an airtight container."
Ariselu,"Rice flour, jaggery, ghee",vegetarian,15,75,sweet,dessert,Andhra Pradesh,South,"grease the butter paper (or plastic sheet) with oil and pinch a small ball sized dough.
pat and flatten to form a slightly thick disk.
peel the athirasa gently, without breaking apart.
now deep fry in medium hot oil or ghee.
fry on medium flame until the bottom part is cooked well. keep splashing oil on top to cook evenly.
now gently, turn over the athirasa, and fry on both sides.
fry until both the sides turn golden and slightly crisp. do not fry too much, as the adhirasam will burn and turn black.
slightly press the athrasa to remove of excess oil.
finally, enjoy athirasa / adhirasam for 2 weeks by storing in an airtight container."
Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",vegetarian,5,35,sweet,dessert,Andhra Pradesh,South,"Take a bowl and add chickpea flour, salt, water and make a tight dough.
Take a sev machine, place dough in it and press it with a hand in hot oil and deep fry murukulu until we get light brown color.
Transfer into a paper towel and break into pieces, allow it rest for some time.
Transfer into a mixie jar and blend into a nice fine powder.
Take a large bowl, add fine powder, sugar powder, cardamom powder, a pinch of salt and mix nicely.
Add ghee little by little and make round laddu with hands."
Chikki,"Peanuts, jaggery",vegetarian,10,20,sweet,dessert,Maharashtra,West,"Roasting Peanuts
Heat a thick bottomed heavy kadai or pan. Add the peanuts in it.
On a low to medium-low heat, roast the peanuts stirring often till they become crunchy.
Roast till you see some black spots on the peanuts and they should have a crunch in them. Taste a few peanuts and if it feels raw, then continue to roast.
Once the peanuts have got roasted well, then remove them in a separate plate or tray. Let them cool down.
Grease the back of a metal tray or back of a steel plate or a marble board with some oil or ghee.
When the peanuts have become warm or cool down, then rub them between your palms. The husks peels of easily.
Now to get rid of the husks, you can use a winnow or use a sieve with large perforations. Add the peanuts in the sieve and sift. The husks will get sifted easily. Remove the husked peanuts and set aside.
Making Jaggery Syrup
In the same kadai or pan, take the jaggery powder. You can also use jaggery block and chop it. If there are impurities, then you will need to strain the jaggery syup.
Add water to the jaggery powder.
Heat the kadai or pan on a low flame. With a spatula or spoon, begin to stir, so that all the jaggery gets dissolved.
Keep on stirring the mixture often.
Cook the jaggery syrup on a low heat with frequent stirrings. 
While the jaggery syrup is cooking, also keep a bowl of cold water where you can check the consistency of the syrup.
Keep on cooking till the mixture reaches the hard ball stage. 
Add a few drops of the syrup in the cold water. It should be firm, brittle and break or snap easily. 
Making Peanut Chikki
When the jaggery syrup reaches this hard ball consistency, quickly add the peanuts and give a quick stir and mix very well.
Switch off the heat and quickly pour the chikki mixture on the greased plate or marble board.
Then quickly place a foil or a butter paper or parchment paper on the chikki. mixture.
With a rolling pin roll to even out the chikki layer. Roll to a neat even layer.
Next remove the paper and then with a knife, cut horizontally and vertically to make squares. Let the peanut chikki cool at room temperature.
Once cooled, break them and serve peanut chikki. If not serving, then store them in an airtight jar at room temperature."
Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",vegetarian,20,60,sweet,dessert,Karnataka,South,"firstly, take the prepared paneer into large kadai and break into pieces.
saute on low flame till the moisture in paneer is lost.
add in 1 tbsp ghee and roast the paneer till the colour changes.
now add 6 tbsp of sugar and 1 tbsp milk. mix well.
keep sauting on low to medium flame till the sugar melts.
continue to saute till the mixture turns brown.
once the milk starts to dry out, add a tbsp of milk.
continue to saute until the mixture turns golden brown.
cool the mixture and transfer to a blender.
blend to a fine powder without adding any water or milk.
take the powdered mixture back to kadai and add 3 tbsp of milk.
continue to saute until the mixture turns dark golden brown.
add milk if the mixture dries out and to prevent from burning.
now add ¼ tsp cardamom powder and mix well. allow to cool slightly.
make a cylindrical roll or shape of your choice to peda.
roll in castor sugar coating uniformly.
finally, dharwad peda is ready to serve or store for a week in the refrigerator."
Double ka meetha,"Loaf bread, milk",vegetarian,20,30,sweet,dessert,Telangana,South,"Toasting Bread For Double Ka Meetha
Firstly take 3 slices of sandwich bread (large bread) and slice them in 4 triangles or rectangles. If you want you can remove the side crusts of the bread slices.
Now heat 2 to 3 tablespoons ghee in a tawa or a pan. Place the bread slices.
When the base is golden, flip each one of them.
Toast till the second side is golden and flip again. You can even deep fry or shallow fry bread. Alternatively you can spread ghee on bread and then toast it.
This way flip a couple of times till the bread is evenly crisp and golden. Do add some more ghee if required while toasting the bread.

Remove the bread slices in a plate and keep aside.
Pan Frying Dry Fruits For Double Ka Meetha
In the same tawa or pan, heat 1 teaspoon ghee. Add 8 almonds.
Pan fry them till they change color. Remove and keep aside.
Then add 8 cashews and 10 to 12 pistachios.
Pan fry them till they become golden. Remove and keep aside.
Making Condensed Milk Mixture
Now in a bowl, take ½ cup sweetened condensed milk.
Add 1.5 cups milk and mix very well so that condensed milk dissolves in the milk.

Add ¾ teaspoon cardamom powder and saffron. Cook on a low flame till mixture becomes warm. No need to boil or heat too much. Just let this mixture become warm.
Keep the pan down or you can keep the pan on the burner and switch off the flame.
Making Double Ka Meetha
Arrange the bread slices in a layer on the milk mixture.
Then make a second layer of the bread slices.
Add the fried almonds, cashews and pistachios on the bread. If using raisins, then add once the double ka meetha is done.
Sprinkle 1 teaspoon rose water all over.
Now place the pan back on the burner.
On a low flame simmer the double ka meetha till the milk is absorbed by the bread slices. Do use a thick and heavy bottomed pan or else the milk can get burnt from the bottom.
Once the milk is absorbed, then switch off the flame.
You can serve double ka meetha warm or you can chill it and then serve later. It stays good in the refrigerator for a couple of days."
Gavvalu,"Rice flour, sugar, salt, ghee, semolina",vegetarian,10,30,sweet,dessert,Andhra Pradesh,South,"In a mixing bowl add maida, salt and hot oil/ghee/butter.
Mix well until it is crumbly and add water little by little, to knead the dough.
Knead the dough until it is soft and pliable. Set aside for 5-10 mins.
Split the dough into small balls of almost equal size.
Take a ball of dough and press it onto the mould.
Starting at one end, begin rolling it but not too tightly. Alternatively, it can have just one roll. Press the edges so that it doesn’t open up while frying.
Meanwhile, heat oil for deep frying. Once hot, set the flame to medium. Drop these prepared gavvuly 8-10 at a time.
Cook slowly until they are crisp and golden brown. Drain off extra oil.
Now heat the jaggery with water on medium flame.
Let the jaggery dissolve and it begins to get frothy.
When it is thick, add a few drops of the syrup into a bowl of water. If you are able to roll it over without it dissolving in water, remove the syrup from heat.
Add the fried gavvulu into the syrup.
Mix well so that they are coated with syrup all over.
Separate them and let them cool down."
Kakinada khaja,"Wheat flour, sugar",vegetarian,10,30,sweet,dessert,Andhra Pradesh,South,"Sift the flours and soda into a bowl. Add the butter and work with your fingers until well incorporated.
Adding water knead this into a soft dough.Transfer the dough on a working surface and knead for 5 minutes.
Cover the dough and rest it for 3 hours minimum.
Later divide the dough into 3 equal portions and roll out each dough ball into 15 cm long strip.Pat its top to form a rectangular like strip.
Cut this into 6 to 7 equal portions. Roll out each piece into a 3 inch strip.
Repeat and make the rest of the dough in the same manner.
Meanwhile, start with the sugar syrup by adding sugar and water to a deep pan.Bring this to boil until it attains one string consistency.
Once it reaches the stage add cardamom powder and saffron. Stir well and turn off the heat.
Heat oil in a deep pan until moderately hot. Add 4 to 5 strips at a time and fry until golden on medium high.
Drain out excess oil and add the fried to the sugar syrup. Let them sit in syrup for atleast an hour before serving.
"
Kuzhi paniyaram,"Black lentils, rice",vegetarian,10,20,sweet,dessert,Kerala,South,"Making Batter
In a bowl take the idli batter.
Add the chopped onions, green chilies, grated coconut, spices, herbs everything to the idli batter. Mix very well with a spoon.
Add salt if the idli batter does not have salt previously added to it. Combine well.
If the batter looks thick, you can add some water. If the batter is thin, you can add some rice flour.
Making Paniyaram
Heat the paniyaram chatti or Aebleskiver pan. Add a few drops of oil.
Pour spoonfuls of the batter upto ¾ of the mould.
Allow the batter to cook for 2 to 3 minutes on a low or medium heat.
Turn each kuzhi paniyaram with the help of a wooden skewer or spoon.
Now allow the other side to get cooked and crisp. If needed you can add some more oil.
Turn once or twice for uniform cooking. Repeat cooking with the remaining batter.
Remove them and keep in a casserole so that they stay warm.
These kuzhi paniyaram are also good as tiffin box snack or picnic snack.
Serve paniyaram with coconut chutney or sambar or any chutney variety of your choice."
Mysore pak,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee",vegetarian,5,20,sweet,dessert,Karnataka,South,"Preparation
Firstly take all the 3 ingredients – 1.25 cups sugar (200 to 210 grams sugar), 1 cup besan (100 grams) and 1 cup ghee (200 to 210 grams).
Seive the besan once or twice. This helps in reducing the lumps if any while mixing besan in the sugar syrup.
Grease a pan or tray with some ghee. Use a pan or tray which can give you some depth and height, so that you can get rectangular or square pieces.
Making Mysore Pak
Now take the sugar in a heavy thick bottomed kadai. Since a lot of stirring happens, I would suggest you to Use a heavy and large aluminium or iron kadai. please do not use non stick pan as due to the heat and lot of stirring, the non stick coating can get affected.
Add ½ cup water in the sugar.
Keep the pan on the stove top. On a medium-low or medium flame, heat the sugar syrup.
Stir so that the sugar dissolves.
Meanwhile also take the ghee in another pan and keep it on stove top. let the ghee melt on a low flame or sim. The ghee has to be hot when we add it in the besan mixture. So let it be on a slow simmer.

AD
Let the sugar syrup start bubbling and boiling. We are not looking for one string consistency in the sugar syrup. Just let the sugar solution come to a boil and then add the besan.
Add the besan in three to four parts. first add some of the besan.
With a wired whisk, stir the besan briskly, so that it dissolves with the sugar solution.
With one hand, add the besan and with the other hand mix it with a wired whisk.
Finish of all the besan this way.
Stir very well, so that the besan has got mixed evenly with the sugar syrup. 
Adding Ghee
Then add ghee in parts. First add a ladle full of the ghee.
You will see a lot of bubbles and frothing in the besan mixture after you add ghee.
As soon as you add ghee, mix it with the besan with a spoon or spatula. with one hand add ghee and with the other hand mix it.
Then add the second part of ghee and again mix it very well. Keep the flame to a medium-low or medium.
This way finish off adding all the ghee in parts. Mix very well.
Do use a bigger kadai and also some gloves on your hands, as there is a lot of sizzling, frothing and bubbling that happens.
All the ghee will be absorbed first and what you will see is a smooth molten besan mixture.
On a medium-low to medium flame with non-stop stirring cook the besan mixture.
You have to continue to cook and stir till you start seeing many bubbles in the mixture and the ghee is released from it. So continue to cook and stir. the mixture will also start to leave the sides of the kadai or pan.
While stirring also scrape the bottom of the kadai and the sides. If you do not scrape, then the mixture starts sticking and gets browned or burnt.
So you have to non stop stir and scrape. do use flat steel spatula (palta) as this helps in scraping the besan mixture.
When the mixture comes together in one mass and you see some ghee at the sides, then also continue to stir and scrape.
When you see many small bubbles and holes in the mixture, then switch off the flame.
If you cook too much, then you will get a very hard mysore pak.
Setting Mysore Pak
Immediately and quickly tilt the kadai and pour the whole mixture in the pan. It falls in one lot and you don’t need to use any spoon for it.
Level with a spatula or the back of small glass or a small steel bowl.
Let the mysore pak mixture become warm or cool down. 
If there is too much ghee at the sides or top, then invert the pan after 20 to 30 minutes, so that the excess ghee is removed. You can use this ghee while preparing dosa or greasing idli plates.
Once warm or cooled down, then just invert the pan on a chopping board or tray or plate. Tap the sides and the bottom of the pan. the mysore pak block falls of easily.
Then slice the mysore pak into rectangular or square pieces.
Store in an air-tight container. It stays good for about a week to ten days at room temperature.
Serve as a festive sweet to your loved ones."
Obbattu holige,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",vegetarian,180,60,sweet,main course,Karnataka,South,"firstly, prepare the dough and filling.
after the dough has rested for 3 hours, knead the dough slightly and pinch a small ball sized dough and flatten.
place a ball sized prepared stuffing in center.
bring the edges together and pinch off the excess dough securing tight.
furthermore, dust the ball with rice flour and roll gently.
roll in one direction making sure the holige / obbattu is thin.
now put this rolled holige / obbattu / puran poli over hot tawa.
allow to roast on medium flame for a minute or till bubbles appear.
flip over and cook both sides pressing slightly.
finally, serve holige / obbattu / puran poli with ghee / coconut milk / mango rasayana."
Palathalikalu,"Rice flour, milk",vegetarian,10,25,sweet,dessert,Andhra Pradesh,South,"PREPARATION:
Boil the grated jaggery along with water until 1 string consistency. Keep aside until use.
Make the rice flour to a soft dough by adding sufficient boiling milk.
Make the dough cylindrical shape and fill it into the muruku maker, close the lid. Set aside until use.
METHOD:
Bring the milk to a boil.
Add sago and stir in between for 8- 10 minutes. The sago turns transparent.
Press the muruku maker in a circular motion and drop the rice flour strings directly into boiling milk.
Let it stand for a few minutes without stirring.
After a few minutes, stir and cook for 10-12 minutes till the thalikalu gets cooked. The cook time depends on the thickness of the thalikalu.
Dilute a tablespoon of rice flour or the left over dough with a pinch of baking soda in some water. Add 2-3 Tbsp of this rice flour mixture to the payasam and cook for 3-5 minutes and turn off the heat.
Finally, add prepared cooled jaggery syrup, cardamom powder and fried cashew nuts and raisins .
Serve when hot."
Poornalu,"Chana dal, jaggery",vegetarian,240,60,sweet,dessert,Andhra Pradesh,South,"firstly, in a large bowl soak 1 cup chana dal for 2 hours. make sure to rinse the dal and then soak.
drain off the water and transfer it to the cooker.
add 1 tsp ghee and 2 cup water.
pressure cook for 2 whistles or until the dal is cooked well.
mash the dal to smooth paste. you can also grind the dal in mixi if you prefer.
transfer the mashed dal into a large kadai.
add 1 cup jaggery and start to cook on medium flame.
the jaggery starts to melt and combines well with mashed dal.
continue to cook until the mixture starts to hold the shape.
now add 1 tsp ghee and cook for a minute, or until the mixture starts to separate the pan. if the mixture is undercooked, then the stuffing will be sticky and will be difficult to make a ball.
transfer to the plate and cool slightly. make sure not to overcook, else the stuffing turns hard.
now add ¼ tsp cardamom powder and mix well.
grease hands with ghee and makes ball sized stuffing. you can store this stuffing in the fridge and prepare burelu when required.
how to make batter for burelu:
firstly, in a bowl soak ¾ cup urad dal and 1 cup rice for 5 hours.
drain off the water and transfer it to the mixi jar. you can also grind the batter in the grinder.
now adding water as required, prepare a smooth thick batter.
transfer the batter to a large bowl. make sure the consistency of the batter is like idli batter, if the batter is thin then will be difficult to coat.
also, add 1 tsp sugar and ½ tsp salt. mix well. adding sugar will give a nice colour to burelu.
now dip the purnam into the batter and drop it into the hot oil.
deep fry on medium flame cooking unifromly.
fry until the burelu turns golden brown and crisp.
drain off the poornalu over the kitchen towel to get rid of excess oil.
finally, boorelu or burelu or poornalu is ready for prasadam."
