class_index,class,ingredients,recipe,proteins,carbs,fat,fiber,calories
13,dhokla,"for batter:
▢1½ cup besan / gram flour
▢3 tbsp rava / semolina / suji (fine)
▢½ tsp ginger paste
▢2 chilli (finely chopped)
▢¼ tsp turmeric
▢1 tsp sugar
▢pinch hing / asafoetida
▢½ tsp salt
▢1 tbsp lemon juice
▢1 tbsp oil
▢1 cup water
▢½ tsp eno fruit salt
for tempering:
▢3 tsp oil
▢½ tsp mustard
▢½ tsp cumin / jeera
▢1 tsp sesame / til
▢pinch hing / asafoetida
▢few curry leaves
▢2 chilli (slit)
▢¼ cup water
▢1 tsp sugar
▢¼ tsp salt
▢1 tsp lemon juice
for garnishing:
▢2 tbsp coconut (grated)
▢2 tbsp coriander (finely chopped)","firstly, in a large mixing bowl sieve 1½ cup besan and 3 tbsp rava.
add ½ tsp ginger paste, 2 chilli, ¼ tsp turmeric, 1 tsp sugar, pinch hing, ½ tsp salt, 1 tbsp lemon juice and 1 tbsp oil.
prepare a smooth batter adding 1 cup of water or as required.
additionally, add ½ tsp of eno fruit salt. you can alternatively use a pinch of baking soda.
immediately steam the dhokla batter for 20 minutes.
further, cut the dhokla and pour tempering.
garnish the dhokla with 2 tbsp chopped coriander leaves and 2 tbsp fresh grated coconut.
finally, serve instant khaman dhokla with green chutney and tamarind chutney.",6.8gm,16.0gm,7.0gm,2.8gm,155
14,egg_curry,"Ingredients
6 Eggs
For roasting egg
1 tablespoon Oil
¼ teaspoon Salt
¼ teaspoon Turmeric Powder
¼ teaspoon Chilli Powder
For gravy
1 tablespoon Oil
1 tablespoon Butter
2 medium Onion (Finely Chopped about 1 cup)
1 tablespoon Ginger Garlic Paste
½ cup Finely chopped Tomatoes
1 tablespoon Coriander Powder
1 teaspoon Cumin Powder
½ teaspoon Red Chilli Powder
½ teaspoon Kashmiri Red Chilli (Substitute by Paprika)
½ teaspoon Turmeric powder
1 green Chilli chopped (optional)
½ teaspoon Garma Masala
1 tablespoon Kasuri Methi (dried fenugreek leaves)
1.5 cup Water
salt to taste","In a pan cover eggs with cold water. Let it come to a boil.Cook eggs 6-7 minutes. Transfer eggs to cold water. When it is comfortable to handle, peel.
Toss peeled boiled eggs in ¼ each of salt, turmeric, and chili powder.
Heat oil in a pan. When the oil is hot, add eggs to the pan. Toss in medium-hot until you see small brown blisters. Remove and keep aside.
To the same pan add 1 tablespoon of oil and butter. When hot add dry red chili and saute for 30 seconds until smokey.
Add chopped onion, saute for 3-4 minutes. The onion will soften and start to brown.
Add ginger-garlic paste. Saute for a minute, stirring in between.
When there is no raw smell of ginger garlic, lower heat. Add cumin powder, coriander powder, turmeric, red chilli powder, Kashmiri red chilli powder. Saute for 30 seconds, until aromatic. Sprinkle little water to prevent it from burning.
Add chopped tomatoes. Cook until tomato is soft and mushy.
Add chopped green chilli and crushed Kasuri methi. Mix well.
When you see oil separating from the mixture, it is time to add water.
Season with salt, add garam masala and fried eggs to the pan.
Mix everything and cook for another 2-3 minutes.
Garnish with fresh coriander leaves.",4.7gm,3.1gm,8.2gm,1.0gm,106
15,fried_rice,"for cooking rice:
▢1 cup basmati rice
▢1 tsp  oil
▢½ tsp salt
▢water for soaking & boiling
for fried rice:
▢2 tbsp oil
▢2 clove garlic (finely chopped)
▢½ onion (finely chopped)
▢4 tbsp spring onion (chopped)
▢¼ carrot (finely chopped)
▢2 tbsp cabbage (finely chopped)
▢2 tbsp peas / matar
▢5 beans (chopped)
▢¼ capsicum (finely chopped)
▢¾ tsp salt
▢2 tbsp soy sauce
▢1 tbsp vinegar
▢1 tsp pepper (crushed)
▢¼ tsp salt","firstly, in a large kadai heat 2 tbsp oil and stir-fry 2 clove garlic.
also, saute ½ onion and 2 tbsp spring onion until they sweat.
furthermore add vegetables of your choice like ¼ carrot, 2 tbsp cabbage, 2 tbsp peas, 5 beans, ¼ capsicum and ½ tsp salt.
stir fry on high flame without overcooking vegetables.
now add 2 tbsp soy sauce and 1 tbsp vinegar. stir-fry until the sauce is combined well.
keeping the flame on high, add cooked rice.
also, add 1 tsp pepper and ¼ tsp salt. adjust the salt as soy sauce has salt.
stir-fry by mixing well making sure rice grains won't break.
further, add 2 tbsp spring onions and mix well.
finally, enjoy veg fried rice with gobi manchurian.",1.9gm,18.0gm,3.2gm,0.8gm,110
16,gobi_sabzi,"for blanching:
▢4 cup water
▢1 tsp salt
▢½ tsp turmeric
▢2 cup gobi / cauliflower (florets)
for sabzi:
▢2 tbsp oil
▢1 inch ginger (finely chopped)
▢2 chilli (slit)
▢few curry leaves
▢1 onion (finely chopped)
▢½ tsp turmeric
▢½ tsp kashmiri red chilli powder
▢½ tsp salt
▢1 tomato (finely chopped)
▢½ cup peas (boiled or frozen)
▢2 tbsp water
▢1 tsp lemon juice
▢2 tbsp coriander (finely chopped)","firstly, in a large vessel take 4 cup water and boil with 1 tsp salt, ½ tsp turmeric.
add 2 cup gobi and boil for 2 minutes or until gobi is blanched well.
drain off the water and keep aside.
in a kadai heat 2 tbsp oil and saute 1 inch ginger, 2 chilli and few curry leaves.
add 1 onion and saute until onions shrink.
further add ½ tsp turmeric, ½ tsp chilli powder and ½ tsp salt. saute well.
now add 1 tomato and saute until tomatoes turn soft and mushy.
additionally, add blanched gobi and ½ cup peas.
mix gently without breaking gobi.
add 2 tbsp water, cover and simmer for 5 minutes.
now add 1 tsp lemon juice and 2 tbsp coriander. mix well.
finally, enjoy gobhi ki sabji with hot steamed rice or phulka.",2.1gm,6.6gm,5.7gm,2.3gm,81
17,idli,"▢1½ cup murmura
▢1 cup rava (coarse)
▢½ tsp salt
▢1 cup curd
▢water (as required)
▢½ tsp eno fruit salt","firstly, in a large bowl rinse 1½ cup murmura with fresh water.
squeeze off the water and transfer the murmura into the mixer jar.
add ½ cup of water and grind to a smooth paste.
transfer the murmura paste into a large bowl.
add 1 cup rava, ½ tsp salt, 1 cup curd, and mix well.
also, add water as required and prepare a smooth lump-free batter.
cover and rest for 20 minutes, or until the rava absorbs water well.
after 20 minutes, mix the batter well adjusting consistency as required.
add ½ tsp eno fruit salt and 2 tbsp water.
mix gently, until the batter turns frothy.
grease the cup with oil. pour in prepared idli batter into the cups filling ¾.
place the cups into the steamer and steam for 15 minutes.
finally, enjoy murmura idli with spicy tomato chutney and sambar.",3.3gm,15.8gm,2.2gm,1.7gm,96
18,jalebi,"for jalebi batter:
▢½ cup all purpose flour / maida
▢1 tsp corn flour
▢¼ tsp baking soda
▢½ tsp vinegar
▢1 tsp yogurt / curd
▢5 tbsp water (or as required)
▢⅛ tsp turmeric powder / haldi / yellow food colour (optional)
for sugar syrup:
▢¼ cup water
▢1 cup sugar
▢¼ tsp saffron strands / kesar (optional)
▢¼ tsp cardamom powder / elachi powder
other ingredients:
▢1 tbsp ghee
▢oil for deep frying","in a mixing bowl, mix maida, corn flour, curd.
then add half tsp vinegar and water.
mix well in round circular directions for 4 minutes.
now add baking soda and give a gentle mix.
now pour this batter in the tomato ketchup bottles carefully.
heat oil in a pan and add 1 tbsp of ghee.
squeeze the bottle and make round spirals with the batter.
when one side is partly cooked, turn over and fry the other side.
fry till the jalebis are a light golden.
then immediately drop the fried jalebis in the warm sugar syrup for 30 seconds (1 string consistency).
finally, serve jalebis hot, warm or at room temperature.",2.2gm,30.6gm,14.8gm,0.6gm,263
19,kaathi_rolls,"Whole wheat chapatis 4
Onion 1 medium
Green capsicum 1 medium
Tomatoes chopped 2 medium
Turmeric powder 1 teaspoon
Ginger-garlic paste 2- tablespoons
Tomato puree 2-3 tablespoons
Paneer (cottage cheese) 1 cup
Salt to taste
Red chilli powder 1/2 teaspoon
Garam masala powder 1/4 teaspoon
Coriander and mint chutney 2 tablespoons
Yogurt 1/4 cup
Fresh mint leave to serve
Onion rings to serve
Chaat masala to serve","Step 1
Heat oil in a non-stick pan. Slice onion and add. Chop green capsicum.
Step 2
Add tomatoes, turmeric powder and ginger-garlic paste to the pan. Mix well and sauté for 2-3 minutes. Add tomato puree. Mix well and cook on high heat for a minute.
Step 3
Add capsicum, cottage cheese, salt, red chilli powder and garam masala powder. Mix well and cook till done. Place a chapatti on a worktop.
Step 4
Mix mint-coriander chutney and yogurt and spread a spoonful of yogurt-chutney evenly on it. Place a spoonful of the vegetable filling on one side of the chapatti.
Step 5
Sprinkle a few fresh mint leaves, onion rings and chaat masala on top. Roll the chapatti tightly.
Step 6
Make other kathi rolls similarly. Cut into halves and serve immediately.",10.7gm,16.6gm,13.9gm,2.5gm,230
20,kadai_paneer,"400-600g Paneer, cubed
1 tsp cumin seeds
1 red onion, sliced
2 garlic cloves
3cm piece of ginger, thinly sliced into strips 
3 fresh tomatoes, chopped
1 tsp salt 
2 or 3 green chillies, sliced lengthways
1 tsp Kashmiri chilli powder
½ tsp turmeric 
1 tsp coriander seeds, crushed
½ tsp black pepper
1 heaped tsp Kasoori methi
½ red pepper, cubed
½ green pepper, cubed
Handful of Coriander leaves, chopped
1 tsp garam masala","Heat oil in a pan add the cumin seeds until the sizzle then add the ginger and garlic and give a quick fry.
Reduce the heat and add sliced onion and fry for a few minutes.
Add the chopped tomatoes and add the salt and slit green chillies. Increase the heat and leave to cook.
Once the tomatoes start to cook down, add the chilli powder, crushed coriander seeds, black pepper and turmeric. If you feel it is catching on the bottom of the pan, you can add a little water.
Fry until the tomatoes break down completely and you are left with a thick masala paste. Make sure the masala is nice and dry and thick.
Cut the paneer into cubes. If it is store-bought, you may want to soak the paneer in warm water to soften.
Add the peppers to the masala and stir. Cook for 1 or 2 minutes
Remove the paneer from the water and add to the pan.
Stir in the kasoori methi. Stir and reduce the heat and leave it to cook for about 5-6 minutes.
The masala should be thick and the paneer beautifully coated.
Add the chopped coriander and garam masala to serve.",3.3gm,3.1gm,6.2gm,1.1gm,81
21,kulfi,"400ml chilled evaporated milk
200ml double cream
250ml sugar
2 green cardamoms, crushed
60g pistachios, roughly chopped","Whisk the evaporated milk in a large bowl using an electric whisk until it has doubled in size.
In a second bowl whip the double cream with the sugar until it is blended together.
Fold the double cream into the evaporated milk.
Add the pistachios and cardamoms and carefully fold them into the mixture.
Pour the mixture into an air tight container and place in the freezer until the mixture is semi set.
After about 30 minutes beat the mixture for a few minutes to make it nice and light.
Return to the freezer. Remove from the freezer 10 minutes before serving.",5.8gm,26.7gm,6.5gm,0.1gm,181
22,laddoo,"for boondi:
1 cup besan / gram flour
3 drops yellow food colour (optional)
¼ cup + 3 tbsp water
¼ tsp baking soda (optional)
oil for deep frying
for sugar syrup:
1¼ cup sugar
½ cup water
other ingredients:
1 tbsp ghee / clarified butter
2 tbsp raisins / kishmish
2 tbsp cashew / kaju
5 cloves / lavang
¼ tsp cardamom powder / elachi powder","firstly, prepare boondi from besan batter.
in a large thick bottomed kadai, take 1¼ cup of sugar.
to that add ½ cup of water and mix well till the sugar dissolves.
mix well and allow to boil till you attain 1 string consistency.
once the sugar cools slightly (about 5 minutes), pour over prepared boondi.
also roast 2 tbsp raisins, 2 tbsp cashew and 5 cloves in 1 tbsp ghee.
pour the roasted dry fruits over boondi mixture along with ¼ tsp cardamom powder.
mix well with the help of spoon till the sugar syrup is absorbed.
when the mixture still lightly warm, prepare ladoo.
finally, offer boondi ladoo to god or store in an airtight container once cooled.",5.1,52,9.6,2.4,311
23,masala_dosa,"for batter:
3 cup sona masuri rice
½ tsp methi / fenugreek seeds
water (for soaking)
1 cup urad dal
2 tbsp toor dal
2 tbsp chana dal
1 cup poha / avalakki (rinsed)
for aloo bhaji:
2 tbsp oil
1 tsp mustard
1 tsp urad dal
1 tsp chana dal
1 dried red chilli
few curry leaves
pinch hing / asafoetida
2 chilli (finely chopped)
1 inch ginger (finely chopped)
1 onion (sliced)
¼ tsp turmeric
1 tsp salt
▢3 potato (boiled & mashed)
▢2 tbsp coriander (finely chopped)
▢2 tbsp lemon juice","masala dosa batter preparation:
firstly, in a large bowl take 3 cup sona masuri rice and ½ tsp methi.
rinse well and soak in enough water for 4 hours.
in another bowl take 1 cup urad dal, 2 tbsp toor dal and 2 tbsp chana dal.
rinse well and soak in enough water for 2 hours.
after soaking dal for 2 hours, drain off the water and transfer to the grinder. you can also grind in mixi if you do not have access to a grinder.
add water as required and blend to smooth paste.
scrape sides. the smooth and fluffy batter will be ready after 40 minutes.
transfer the batter to a large vessel and keep aside.
in the same grinder add soaked rice and 1 cup rinsed poha.
add water slowly and scrape the sides. blend to a coarse paste.
transfer the rice batter to the same urad dal batter.
mix well making sure everything is well combined.
ferment in a warm place for at least 8 hours or until the batter doubles in volume. if you are living in a cold climate, then you can place the batter in the warm oven (just heat the oven until it turns slightly warm and then turn off) to ferment.
once the batter is well fermented, mix gently, without disturbing the air pockets.
transfer 4 cups of fermented batter to a small bowl and add 1 tsp salt.
mix well until the salt is well combined. masala dosa batter is ready. keep aside.
aloo bhaji preparation:
firstly, in a large kadai heat 2 tbsp oil and splutter 1 tsp mustard, 1 tsp urad dal, 1 tsp chana dal, 1 dried red chilli, few curry leaves, pinch hing.
now add 2 chilli and 1 inch ginger. saute well.
also, add 1 onion and saute until onions shrink slightly.
further, add ¼ tsp turmeric and 1 tsp salt. saute well.
now add 3 potato and mix well, mash slightly making sure everything is well combined.
turn off the flame and add 2 tbsp coriander and 2 tbsp lemon juice.
mix well and aloo bhaji for masala dosa is ready. keep aside.
masala dosa preparation:
firstly, add a ladleful of batter on hot tawa.
spread as thin as possible making a crispy dosa.
take 1 tsp of butter and spread uniformly.
also, place 2 tbsp of prepared aloo masala in the centre.
roast until the dosa turns golden brown and crisp.
scrape the sides of dosa and roll the dosa.
finally, masala dosa recipe is ready to serve with coconut chutney and sambar.",3.3gm,22.7gm,6.3gm,1.9gm,160
24,medu_vada,"1 cups of urad dal or uddina bele
¼ cup of channa dal or kadle bele
2 tsp of rice flour
2 green chillies
3 tbsp of dry chopped coconut
few curry leaves
1 tbsp coriander leaves (chopped)
1 inch ginger (finely chopped))
pinch of hing
salt to taste
oil to fry","wash and soak dal in about 3 cups of water for about 2-3 hours.
drain all the water from soaked dal. grind urad dal and channa dal together to smooth paste using very little water. i have used authentic grinding stone, but wet grinder or even mixer grinder can be used.
the batter should be thick and use very little water. the right consistency is very important or otherwise, you will not be able to get the vada shape.
add coriander, green chilli, ginger and chopped dry coconut to the batter. mix it very well.
add 2-3 tsp of rice flour. rice flour is added to make it crispy.
add pinch of hing to make it more digestible.
heat the oil in a frying pan in medium flame. wet your palms and take a lemon size batter.
make hole in the center and slide it into the hot oil.
the vada should float on top of oil.
make sure your oil is not too hot. otherwise the vadas would not cook evenly.
fry on both sides till it becomes golden brown in colour.
serve medu vada immediately with chutney collections or sambar collections.",9.7gm,24.1gm,13.8gm,4.9gm,259
25,momos,"Momo Filling
500g of minced chicken (or a meat free alternative)
4-5 spring onions
1-2 chillies
4 cloves garlic
5cm piece of ginger
1 tsp coriander seeds, crushed
1 tsp turmeric
1 tsp cumin seeds, crushed
1-2 tbsp oil
1 tsp salt or 1 tsp soy sauce
Momo wrappers
300g Plain flour
Pinch of salt
Momo Achaar
200ml water
3 large ripe tomatoes
4-5 dried Kashmiri chillies
4 cloves garlic
7cm ginger
1 tbsp sugar
1 tbsp vinegar
½ tsp salt
1 tsp soy sauce","Momo Filling
Mince the onion with the garlic and set to one side.
Heat a tbsp of oil and add the onion mixture, sautee for a few minutes.
Mince the ginger and and green chilli mixture and add to the pan. Leave to cool for a minute.
Add the mixture to the mince chicken, then add the turmeric, salt (or soy sauce), chilli powder, coriander, cumin powder and mix everything into the meat.
Add 1-2 tbsp of vegetable oil and mix it again. This keeps the mixture nice and juicy.
Add some finely chopped coriander and mix it all together.

Vegetarian Momo's
 You can use any vegetables of your choice, paneer or a meat free product. Just mince it and sauté the onions and veg with the ginger and garlic to soften the vegetables first. 
Momo Wrappers
Put the flour and a pinch of salt into a bowl.
Add water, a little at a time to the flour to make dough.
Knead the dough for a few more minutes until its soft and pliable. Let it rest for 20 minutes.
Divide the dough into 20 pieces.
With a rolling pin roll the dough as thin as possible into circles. You can also roll it out so it’s about 1mm thick and use a cutter to cut our circles approx. 7-8cm in diameter.
Making the Momos
Put roughly one tbsp of the filling into the centre of the wrapping.
Pleat the edges of the wrapper and rotate round until it's pleated all the way around and sealed.
Oil the bottom of your steamer to stop them sticking and place into the steamer so they are not touching each other.
Steam for 20-25 mins until the outside is no longer sticky.
To Pan Fry
Add a tbsp of oil and heat add the momo’s and once they start to brown add about 50-100ml of water and put the lid on the pan and let them steam for 10 minutes. You made need to reduce the heat.
Remove the lid and once the water has evaporated and toss them in some soy and chilli sauce or the momo chutney. Momos taste great on their own but some achar or sauce takes the taste one step further. In fact, some momo shops in Nepal are just popular due to their unique achaar.
Momo Achaar
Heat approx. 200ml of water and add 3 diced tomato, 4 dried red chilli, garlic cloves and ginger and boil for 10-15 minutes until you have a pulp and the garlic is soft.
Pour everything into blender with 1 tsp sugar, 1 tsp vinegar, ¼ tsp salt and 1 tsp soy sauce and blitz until smooth. Check seasoning and serve with the momo's.
  ",3.5gm,23.5gm,3.0gm,2.2gm,135
26,munchurian,"for manchurian balls:
1 carrot (grated)
5 tbsp cabbage (shredded)
5 tbsp spring onion (chopped)
½ onion (finely chopped)
½ tsp ginger garlic paste
1 tsp chilli sauce
½ tsp salt
2 tbsp maida / plain flour
2 tbsp cornflour
oil (for frying)
for gravy:
2 tbsp oil
1 inch ginger (finely chopped)
3 clove garlic (finely chopped)
1 chilli (slit)
4 tbsp spring onion (chopped)
½ onion (finely chopped)
½ capsicum (sliced)
2 tbsp vinegar
2 tbsp soy sauce
1 tsp chilli sauce
2 tbsp tomato sauce
½ tsp pepper powder
¼ tsp salt
1¼ cup water
for slurry:
2 tsp cornflour
¼ cup water","firstly, in a large bowl take 1 carrot, 5 tbsp cabbage, 2 tbsp spring onion, ½ onion and ½ tsp ginger garlic paste.
also add 1 tsp chilli sauce, ½ tsp salt.
mix well making sure everything is combined well,
further, add 2 tbsp maida, 2 tbsp cornflour and mix well.
form a soft dough adding maida if required.
now prepare a small ball sized balls.
deep fry in hot oil keeping the flame on medium.
stir occasionally, until the balls turn golden brown.
drain off the manchurian balls and keep aside.
now in a large wok, heat 2 tbsp oil and saute 1 inch ginger, 3 clove garlic, 1 chilli and 2 tbsp spring onion.
add ½ onion and stir fry on high flame.
further, add ½ capsicum and stir fry until it shrinks slightly.
add 2 tbsp vinegar, 2 tbsp soy sauce, 1 tsp chilli sauce, 2 tbsp tomato sauce, ½ tsp pepper powder and ¼ tsp salt.
stir fry making sure all the sauces are well combined.
add in 1¼ cup water and boil on medium flame.
in a small bowl take 2 tsp cornflour and ¼ cup water.
mix well forming a lump-free slurry.
pour in cornflour slurry and mix well.
continue to boil until the gravy thickens and turns glossy.
add in prepared veg manchurian balls, 2 tbsp spring onion and mix well.
finally, serve veg manchurian gravy with fried rice",1.6gm,9.9gm,10.0gm,1.4gm,135
27,noodles,"for boiling noodles:
6 cup water
1 tsp salt
1 tsp oil
125 grams noodles
other ingredients:
2 tbsp oil
2 clove garlic (finely chopped)
1 inch ginger (finely chopped)
1 chilli (slit)
½ onion (sliced)
2 tbsp spring onion (chopped)
½ carrot (chopped)
¼ green capsicum (chopped)
5 snow pea (chopped)
5 beans (chopped)
¼ red capsicum (chopped)
5 florets broccoli
3 tbsp cabbage (shredded)
2 tbsp tomato sauce
1 tbsp soy sauce
1 tbsp vinegar
1 tbsp chilli sauce
¼ tsp pepper powder
½ tsp salt","firstly, in a large vessel take 6 cup water, 1 tsp salt and 1 tsp oil.
once the water comes to a boil place a pack of hakka noodles (125 gm)
boil the noodles for 3 minutes or till it turns al dente. refer package instructions to know the exact cooking time.
drain off the water from noodles and pour 1 cup of cold water to prevent from further cooking.
drizzle 1 tsp oil and mix gently, to avoid noodles from sticking to each other. keep aside.
now in a large kadai heat 2 tbsp oil and saute 2 clove garlic, 1 inch ginger and 1 chilli.
saute ½ onion, 2 tbsp spring onion on high flame.
further add ½ carrot, ¼ green capsicum, 5 snow pea, 5 beans, chopped, ¼ red capsicum and 5 florets broccoli.
stir fry on high flame for 2 minutes or until veggies are cooked yet retain their crunch.
also add 3 tbsp cabbage and stir fry.
further add 2 tbsp tomato sauce, 1 tbsp soy sauce, 1 tbsp vinegar, 1 tbsp chilli sauce, ¼ tsp pepper powder and ½ tsp salt.
stir fry until sauces are well combined.
add in boiled noodles and mix gently.
toss and mix until noodles are cooked completely.
finally, garnish with spring onion and enjoy veg noodles.",3.8gm,22.1gm,4.5gm,0.7gm,143
28,omlete,"2 large eggs
Kosher salt  
Freshly ground black pepper
Pinch red pepper flakes
2 tbsp. butter
1/4 c. shredded cheddar
2 tbsp. freshly chopped chives","In a medium bowl, beat eggs until no whites remain, then season with salt, pepper, and a pinch red pepper flakes.
In a medium non-stick skillet over medium heat, melt butter. Pour in eggs and tilt pan so eggs fully cover the entire pan. As eggs start to set, use a rubber spatula to drag cooked edges into center of pan. Tilt pan to let uncooked egg fall to the edge of the pan. 
Once the bottom is set, but top is still a little wet, sprinkle cheese and chives on one half of omelet. Fold other side over cheese and slide omelet onto a plate.   ",10.3gm,3.1gm,16.8gm,0.4gm,199
29,paani_puri,"Puri
200g fine semolina
4 tbsp plain flour, plus some for dusting
Salt, pinch
Black pepper, pinch
130ml sparkling water
Vegetable oil for frying
Green Water
125ml tamarind pulp
2 tbsp roasted cumin seeds, crushed
50g coriander leaves, (small handful)
3 green chillies
80g mint leaves, (large handful)
1 tbsp black salt
2 tbsp jaggary, crushed
450ml water","Puri
To make the puris, place the semolina, flour, a pinch of salt and pepper into a bowl, and gradually add the sparkling water.
Stir continuously until the mixture comes together and forms a soft dough. Place into a bowl that has been dusted with flour and cover with a damp tea towel for about 30 minutes. 
Place a large, deep pan or a wok on a gentle heat and pour in the vegetable oil and allow it to get really hot.
Separate the dough into 4 bits and roll it out so it's thin (about 1mm thick). Using a 5cm cutter cut out as many circles as you can. Or take small grape sized balls of the puri dough and roll into a ball with your hands. On a floured surface roll it out to make thin, flat circles, about 5-6cm across.  
To test if it's hot enough, drop a tiny piece of dough into the pan – if it floats to the surface and starts to sizzle, it's ready.
Very gently slide in one circle of puri dough and fry for 2 to 3 minutes. Then using your spoon to push them under the oil, then carefully flip them over and continue cooking for 1-2 minutes, until it's golden and crisp. Transfer to a kitchen paper to drain, and repeat with the remaining dough.
Green Pani
Place all the green pani ingredients, into a liquidiser. Make sure the jaggery has dissolved a little then and blitz until smooth.
Line a sieve with muslin, place over a large bowl and sieve the mixture to get an intense, flavoured water.",2.1gm,18.2gm,2.7gm,1.4gm,105
30,pakode,"100g gram flour, sieved
1 medium onion
3 medium potatoes
1 tsp of salt
2 tsp of garam masala
1 tsp of turmeric
2 chillies, finely chopped
1 tbsp ginger, grated (optional)
Handful of coriander, chopped
2 tsp of dried fenugreek leaves
1 tsp of cumin seeds
½ tsp of red chilli powder
Water
Oil for deep frying ","Heat up the oil in a karahi or wok to a medium heat.
Slice the onion lengthways very thinly and place in a bowl.
Peel and grate (or very finely chop) the potatoes into the same bowl. You can also use aubergines and cauliflower - chop into very small pieces.
Sprinkle all the dry spices and freshly chopped coriander, chillies and ginger into the bowl and then sieve in the gram flour - mix together using your hands. 
Add a small amount of water a little at a time to create a thick batter that coats all the vegetables. Squeeze the mixture through your fingers to ensure all the spices mix through. Do not leave the batter and vegetable mixture for too long before cooking.
Test your oil is hot enough by dropping a little batter into the oil. If it browns and rises immediately then it is ready. Very carefully drop in spoonfuls of the mixture into the oil and fry until golden brown.
Using a slotted spoon move the pakora around, be careful not to overcrowd the karahi.
Once golden brown and crisp remove from the oil and set on some kitchen paper.",8.5gm,23.1gm,18.2gm,5.0gm,291
31,paneer_tikka,"½ cup curd / yogurt (thick)
½ tsp turmeric / haldi
1 tsp kashmiri red chilli powder / lal mirch powder
½ tsp coriander powder / daniya powder
¼ tsp cumin powder / jeera powder
½ tsp garam masala
½ tsp kasuri methi / dry fenugreek leaves (crushed)
½ tsp chaat masala
1 tsp ginger - garlic paste
¼ tsp ajwain / carom seeds
2 tsp besan / gram flour (dry roasted)
1 tbsp lemon juice
salt to taste
3 tsp oil
vegetables:
½ onions (petals)
½ capsicum (red & green, cubed)
5 cubes paneer / cottage cheese","firstly, take ½ cup thick curd / yogurt.
further add in all the spices along with salt.
mix till all the spices are combined well with curd.
now add ½ onion petals, ½ cubed capsicum (red & green) and 5 cubes paneer.
also add 1 tsp of oil.
mix gently till all the vegetables are coated well.
furthermore, to marinate, cover and refrigerate for 30 minutes.
after marination, insert the marinated paneer, capsicum and onions into wooden skewers.
further, roast it on a hot tawa or grill in oven or tandoor.
finally, sprinkle some chaat masala and serve paneer tikka immediately.
",15.8gm,2.5gm,22.5gm,0.3gm,276
32,pav_bhaji,"for bhaji:
1 tbsp + 1 tbsp butter
3 to mato (finely chopped)
¼ cup peas / matar
½ capsicum (finely chopped)
2 potato (boiled & mashed)
1 tsp salt
1 tsp + ¼ tsp kashmiri red chilli powder / lal mirch powder
¼ tsp turmeric / haldi
1 tsp + ½ tsp pav bhaji masala
1 tsp + 1 tsp kasuri methi / dry fenugreek leaves
2 tbsp + 1 tbsp coriander leaves (finely chop ped)
1 tsp ginger garlic paste
1 onion (finely chopped)
½ lemon juice
3 drops red food colour (optional)
water to adjust consistency
To toast pav:
8 pav / bread roll
4 tsp butter
½ tsp kashmiri red chilli powder / lal mirch powder
▢½ tsp pav bhaji masala
▢4 tsp coriander leaves (finely chopped)","Step 1
Heat the oil in a wok over medium heat. Saute garlic and green chile for 30 seconds, then stir in onions and ginger. Cook until onions are brown. Add tomatoes, and cook until pasty. Stir in cauliflower, cabbage, peas, carrots and potatoes. Season with pav bhaji masala. Cover, and cook for 15 minutes, stirring occasionally. Season with salt, and stir in lemon juice.

Step 2
Toast the dinner rolls, and spread lightly with butter. Serve garnished with chopped onion, green chile and cilantro.",3.3gm,29.3gm,2.4gm,1.0gm,151
33,pizza,"For the base
300g strong bread flour
1 tsp instant yeast (from a sachet or a tub)
1 tsp salt
1 tbsp olive oil, plus extra for drizzling
For the tomato sauce
100ml passata
handful fresh basil or 1 tsp dried
1 garlic clove, crushed
For the topping
125g ball mozzarella, sliced
handful grated or shaved parmesan (or vegetarian alternative)
handful of cherry tomatoes, halved","STEP 1
Make the base: Put the flour into a large bowl, then stir in the yeast and salt. Make a well, pour in 200ml warm water and the olive oil and bring together with a wooden spoon until you have a soft, fairly wet dough. Turn onto a lightly floured surface and knead for 5 mins until smooth. Cover with a tea towel and set aside. You can leave the dough to rise if you like, but it’s not essential for a thin crust.

STEP 2
Make the sauce: Mix the passata, basil and crushed garlic together, then season to taste. Leave to stand at room temperature while you get on with shaping the base.

STEP 3
Roll out the dough: if you’ve let the dough rise, give it a quick knead, then split into two balls. On a floured surface, roll out the dough into large rounds, about 25cm across, using a rolling pin. The dough needs to be very thin as it will rise in the oven. Lift the rounds onto two floured baking sheets.

STEP 4
Top and bake: heat the oven to 240C/220C fan/gas 8. Put another baking sheet or an upturned baking tray in the oven on the top shelf. Smooth sauce over bases with the back of a spoon. Scatter with cheese and tomatoes, drizzle with olive oil and season. Put one pizza, still on its baking sheet, on top of the preheated sheet or tray. Bake for 8-10 mins until crisp. Serve with a little more olive oil, and basil leaves if using. Repeat step for remaining pizza.",10.3gm,28.5gm,8.1gm,1.3gm,227
